ProductCode,ProductName,Period
PROD0001,Producto de Prueba 1,2026-01
PROD0002,Producto de Prueba 2,2026-01
PROD0003,Producto de Prueba 3,2026-01
PROD0004,Producto de Prueba 4,2026-01
PROD0005,Producto de Prueba 5,2026-01
PROD0006,Producto de Prueba 6,2026-01
PROD0007,Producto de Prueba 7,2026-01
PROD0008,Producto de Prueba 8,2026-01
PROD0009,Producto de Prueba 9,2026-01
PROD0010,Producto de Prueba 10,2026-01
PROD0011,Producto de Prueba 11,2026-01
PROD0012,Producto de Prueba 12,2026-01
PROD0013,Producto de Prueba 13,2026-01
PROD0014,Producto de Prueba 14,2026-01
PROD0015,Producto de Prueba 15,2026-01
PROD0016,Producto de Prueba 16,2026-01
PROD0017,Producto de Prueba 17,2026-01
PROD0018,Producto de Prueba 18,2026-01
PROD0019,Producto de Prueba 19,2026-01
PROD0020,Producto de Prueba 20,2026-01
PROD0021,Producto de Prueba 21,2026-01
PROD0022,Producto de Prueba 22,2026-01
PROD0023,Producto de Prueba 23,2026-01
PROD0024,Producto de Prueba 24,2026-01
PROD0025,Producto de Prueba 25,2026-01
PROD0026,Producto de Prueba 26,2026-01
PROD0027,Producto de Prueba 27,2026-01
PROD0028,Producto de Prueba 28,2026-01
PROD0029,Producto de Prueba 29,2026-01
PROD0030,Producto de Prueba 30,2026-01
PROD0031,Producto de Prueba 31,2026-01
PROD0032,Producto de Prueba 32,2026-01
PROD0033,Producto de Prueba 33,2026-01
PROD0034,Producto de Prueba 34,2026-01
PROD0035,Producto de Prueba 35,2026-01
PROD0036,Producto de Prueba 36,2026-01
PROD0037,Producto de Prueba 37,2026-01
PROD0038,Producto de Prueba 38,2026-01
PROD0039,Producto de Prueba 39,2026-01
PROD0040,Producto de Prueba 40,2026-01
PROD0041,Producto de Prueba 41,2026-01
PROD0042,Producto de Prueba 42,2026-01
PROD0043,Producto de Prueba 43,2026-01
PROD0044,Producto de Prueba 44,2026-01
PROD0045,Producto de Prueba 45,2026-01
PROD0046,Producto de Prueba 46,2026-01
PROD0047,Producto de Prueba 47,2026-01
PROD0048,Producto de Prueba 48,2026-01
PROD0049,Producto de Prueba 49,2026-01
PROD0050,Producto de Prueba 50,2026-01
PROD0051,Producto de Prueba 51,2026-01
PROD0052,Producto de Prueba 52,2026-01
PROD0053,Producto de Prueba 53,2026-01
PROD0054,Producto de Prueba 54,2026-01
PROD0055,Producto de Prueba 55,2026-01
PROD0056,Producto de Prueba 56,2026-01
PROD0057,Producto de Prueba 57,2026-01
PROD0058,Producto de Prueba 58,2026-01
PROD0059,Producto de Prueba 59,2026-01
PROD0060,Producto de Prueba 60,2026-01
PROD0061,Producto de Prueba 61,2026-01
PROD0062,Producto de Prueba 62,2026-01
PROD0063,Producto de Prueba 63,2026-01
PROD0064,Producto de Prueba 64,2026-01
PROD0065,Producto de Prueba 65,2026-01
PROD0066,Producto de Prueba 66,2026-01
PROD0067,Producto de Prueba 67,2026-01
PROD0068,Producto de Prueba 68,2026-01
PROD0069,Producto de Prueba 69,2026-01
PROD0070,Producto de Prueba 70,2026-01
PROD0071,Producto de Prueba 71,2026-01
PROD0072,Producto de Prueba 72,2026-01
PROD0073,Producto de Prueba 73,2026-01
PROD0074,Producto de Prueba 74,2026-01
PROD0075,Producto de Prueba 75,2026-01
PROD0076,Producto de Prueba 76,2026-01
PROD0077,Producto de Prueba 77,2026-01
PROD0078,Producto de Prueba 78,2026-01
PROD0079,Producto de Prueba 79,2026-01
PROD0080,Producto de Prueba 80,2026-01
PROD0081,Producto de Prueba 81,2026-01
PROD0082,Producto de Prueba 82,2026-01
PROD0083,Producto de Prueba 83,2026-01
PROD0084,Producto de Prueba 84,2026-01
PROD0085,Producto de Prueba 85,2026-01
PROD0086,Producto de Prueba 86,2026-01
PROD0087,Producto de Prueba 87,2026-01
PROD0088,Producto de Prueba 88,2026-01
PROD0089,Producto de Prueba 89,2026-01
PROD0090,Producto de Prueba 90,2026-01
PROD0091,Producto de Prueba 91,2026-01
PROD0092,Producto de Prueba 92,2026-01
PROD0093,Producto de Prueba 93,2026-01
PROD0094,Producto de Prueba 94,2026-01
PROD0095,Producto de Prueba 95,2026-01
PROD0096,Producto de Prueba 96,2026-01
PROD0097,Producto de Prueba 97,2026-01
PROD0098,Producto de Prueba 98,2026-01
PROD0099,Producto de Prueba 99,2026-01
PROD0100,Producto de Prueba 100,2026-01
PROD0101,Producto de Prueba 101,2026-01
PROD0102,Producto de Prueba 102,2026-01
PROD0103,Producto de Prueba 103,2026-01
PROD0104,Producto de Prueba 104,2026-01
PROD0105,Producto de Prueba 105,2026-01
PROD0106,Producto de Prueba 106,2026-01
PROD0107,Producto de Prueba 107,2026-01
PROD0108,Producto de Prueba 108,2026-01
PROD0109,Producto de Prueba 109,2026-01
PROD0110,Producto de Prueba 110,2026-01
PROD0111,Producto de Prueba 111,2026-01
PROD0112,Producto de Prueba 112,2026-01
PROD0113,Producto de Prueba 113,2026-01
PROD0114,Producto de Prueba 114,2026-01
PROD0115,Producto de Prueba 115,2026-01
PROD0116,Producto de Prueba 116,2026-01
PROD0117,Producto de Prueba 117,2026-01
PROD0118,Producto de Prueba 118,2026-01
PROD0119,Producto de Prueba 119,2026-01
PROD0120,Producto de Prueba 120,2026-01
